

oGraveBuster  	咬咬碑
oLawnCleaner  	剪草机
oCleaner      	爆竹
oPoolCleaner  	池塘清扫车
oBrains      	脑子
oStarfruit    	杨桃
oPeashooter   	豌豆射手
oLotusRoot    	莲藕火箭炮
oSnowPea	寒冰射手
oSnowRepeater	寒冰双发射手
oRepeater	双发射手
oThreepeater	三线射手
oGatlingPea	机枪射手
oSplitPea	双向射手
oSunFlower	向日葵
oTwinSunflower  双胞向日葵
oPumpkinHead	南瓜头
oFlowerPot	花盆
oLilyPad	莲叶
oPotatoMine 	土豆雷
oTorchwood	火炬树桩
oWallNut	坚果
oLing		南湖菱
oTallNut	高坚果
oTenManNut	藤蔓坚果
oCherryBomb	樱桃炸弹
oJalapeno	火爆辣椒
oSpikeweed	地刺
oSpikerock	地刺王
oGarlic		大蒜
oSquash		倭瓜
oChomper	大嘴花
oBigChomper	超级大嘴花
oFumeShroom	大喷菇
oCoffeeBean	咖啡豆
oGloomShroom	多嘴小喷菇
oPuffShroom	小喷菇
oScaredyShroom	胆小菇
oHypnoShroom	魅惑菇
oIceShroom	寒冰菇
oSunShroom	阳光菇
oDoomShroom	毁灭菇
oTangleKlep	缠绕水草
oSeaShroom	海蘑菇
oCactus		仙人掌
oOxygen		氧气藻
oFlamesMushroom	烈焰菇
oPlantern	路灯花
ostar		海星果
oGun		水枪草
oSeaAnemone	电海葵
oTTS		荆棘海草
oMagneticmuShroom磁力菇
oLaserBean	激光豆
oGoldenPrize	奖杯
oShovel		铲子
